date,description
2026-01-01,New Year Day
2026-01-19,Birthday of Martin Luther King Jr.
2026-02-16,Carnival Monday
2026-02-17,Carnival Tuesday
2026-04-03,Good Friday
2026-04-21,Tiradentes
2026-05-01,Labor Day
2026-05-25,Memorial Day
2026-06-04,Corpus Christi
2026-06-19,Juneteenth National Independence Day
2026-07-03,Independence Day
2026-09-07,Independence of Brazil
2026-10-12,Our Lady of Aparecida
2026-11-02,All Souls Day
2026-11-11,Veterans Day
2026-11-20,Black Awareness Day
2026-11-26,Thanksgiving Day
2026-12-24,Christmas Eve
2026-12-25,Christmas Day